model_family,device_type,technology_nm,application_type,W_um,L_um,temperature_C,VDS_V,VGS_V,ID_A,bias_label,comparison_basis,nominal_VDD_V,source_type,simulator,model_file_sha256,raw_file
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0949999999999999,4.0122832616166295e-11,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0899999999999999,4.57408012147368e-11,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0849999999999999,5.2180003713028185e-11,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0799999999999999,5.955866428363326e-11,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0749999999999999,6.801206167800156e-11,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0699999999999999,7.769498326361557e-11,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0649999999999998,8.878453112919366e-11,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0599999999999998,1.01483330528479e-10,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0549999999999999,1.1602319805753839e-10,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0499999999999999,1.326693350842816e-10,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0449999999999999,1.5299445482369938e-10,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0399999999999999,1.7498972167630408e-10,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0349999999999999,2.0016491793767902e-10,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
PTM,NMOS,45,HP,1.0,0.045,25.0,0.05,-0.0299999999999999,2.28977839647221e-10,low_vds,low_drain_bias,1.0,simulation,ngspice,c9ed2e513523c57a76912a35b2860cb85e4aaa3402b69757d84efa9cc2fb8410,data/raw/ptm45_hp_vds_0p05v_raw.txt
